Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct,BBL,BIN
Queens,25,St. James Compost,40.738332,"86-02 Broadway, Elmhurst, NY 11373",-73.8777581,Elmhurst,,8,Every day from 9:00AM - 6:00PM,Year Round,Volunteers at St. James Compost,https://www.instagram.com/stjamescompost/,404,,POINT (-73.8777581000009 40.7383320000032),,,
New York,2,Down to Earth Garden,40.7281,546 East 12th St,-73.979,Lower East Side,"We accept potted plants, clippings and flowers but please keep them separate from food scraps.",139,Tuesday: 1:30 to 3:30pm,Year Round,Down to Earth Garden,downtoearthgarden.org/,103,34,POINT (-73.979000000001 40.7281000000032),9,,
New York,1,WEATHER CLOSURE 1/29: Tribeca Greenmarket,40.717424,Tribeca Greenmarket,-74.010793,SoHo-TriBeCa-Civic Center-Little Italy,,70,Saturdays 8:00AM - 1:00PM,Year Round,GrowNYC,,101,,POINT (-74.010793000001 40.7174240000032),,,
Richmond,49,WEATHER CLOSURE 1/29: Staten Island Urban Center,40.6369271,208 Bay Street,-74.0767091,Stapleton-Rosebank,"Not accepted: meat, bones, dairy",107,Saturdays 11:00 AM - 1:30 PM,Year Round,Staten Island Urban Center,www.siurbancenter.org,501,21,POINT (-74.076709100001 40.6369271000032),120,5004980066,5013259
Queens,28,Discovery Community Garden,40.6944987,"108-56 Union Hall St Jamaica, NY 11433",-73.7913159,South Jamaica,No meat. No BPI-Certified Products.,208,"Mondays, 12-2PM",Year Round,NYC Compost Project Hosted by Big Reuse,https://www.bigreuse.org/service/compost/,412,,POINT (-73.791315900001 40.6944987000032),,,
Richmond,50,Grace Foundation,40.591211,460w Brielle Avenue,-74.1320734,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"Not accepted: meat, bones, or dairy",120,Mondays 9 AM - 12 PM,Year Round,Grace Foundation,graceofny.org,502,181,POINT (-74.132073400001 40.5912110000032),122,5009550100,5000000
New York,3,Hudson River Park's Pier 76 at W. 34th St.,40.756032,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,-74.006046,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",38,Every day 7:00 am - 7:00 pm,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.006046000001 40.7560320000032),,,
Kings,39,Christ Church Community Compost,40.68596,326 Clinton Street,-73.99701,Carroll Gardens-Columbia Street-Red Hook,"Only accepting fruits, vegetables, coffee, tea, and nuts",93,Sundays from 9:00AM-10:00AM; Wednesdays from 7:00PM-8:00PM,Year Round,Volunteers at Christ Church,www.christchurchcobblehill.net,306,67,POINT (-73.997010000001 40.6859600000032),76,3003240036,3003899
Kings,39,WEATHER CLOSURE 1/29: Grand Army Plaza Greenmarket,40.673438,"Flatbush Ave & Eastern Pkwy, north of the arch",-73.969814,Park Slope-Gowanus,"No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products.",203,"Saturdays, 8AM-2PM",Year Round,GrowNYC,grownyc.org/compost,355,,POINT (-73.969814000001 40.6734380000032),,,
Queens,30,Glendale Community Garden,40.707547,"74-10 88th St, Glendale, NY 11385",-73.864884,Glendale,"Not accepting: meat, bones, or dairy",88,Saturdays & Sundays 11:00AM - 4:00PM,Year Round,Volunteers at Glendale Community Garden,,405,,POINT (-73.864884000001 40.7075470000032),,,
Queens,23,Queens County Farm Museum,40.748406,"73-50 Little Neck Parkway, Queens, NY 11004",-73.721002,Bellerose,"Check Calendar of Events at queensfarm.org for dates when admission is charged (and compost site is not accessible without a ticket). *Farm-wide admission is charged for weekend events on 10-12 days each calendar year. Also, stop by the Farm Store to fi",6,Every Day 10:00 AM-04:00 PM,Year Round,Staff at Queens County Farm Museum,http://queensfarm.org/,413,,POINT (-73.7210020000009 40.7484060000032),,,
Bronx,14,WEATHER CLOSURE 1/29: New Settlement Community Center,40.8424593,"1501 Jerome Ave, Bronx, NY 10452",-73.9163193,West Concourse,"No Rice, Pasta, Bread, and Grains. No Meat, Fish, and Dairy. No BPI - Certified Products. Remove all plastic, stickers and zip ties before dropping off food scraps",198,"Saturdays, 10:30AM-1PM",December 4 - June 25,New Settlement Community Center,NewSettlement.org/food,204,,POINT (-73.9163193000009 40.8424593000032),,,
Queens,29,Kew Gardens Food Scrap Drop-off,40.707626,Metropolitan Ave & Audley St,-73.836079,Kew Gardens,"Not accepted: meat, bones, or dairy",152,Thursdays 9:30 AM - 12:30 PM,Year Round,GrowNYC,grownyc.org/compost,409,,POINT (-73.836079000001 40.7076260000032),,,
New York,3,WEATHER CLOSURE 1/29: Abingdon Square Greenmarket,40.737472,W 12th St and 8th Ave,-74.005095,West Village,"Not accepted: meat, bones, or dairy",66,Saturdays 8:00AM - 2:00PM,Year Round,GrowNYC,,102,77,POINT (-74.005095000001 40.7374720000032),6,,
Kings,39,Prospect Farm,40.654139,"1194 Prospect Ave, Brooklyn, NY 11218",-73.976444,Windsor Terrace,,55,Wednesdays 5:00PM - 6:00PM; Saturdays 11:00AM - 12:00PM,Year Round,Prospect Farm,https://prospectfarm.org/composting/,307,,POINT (-73.976444000001 40.6541390000032),,,
New York,3,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,40.7489842,Chelsea Waterside Park near the playground,-74.0071142,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy.",34,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.007114200001 40.7489842000032),,,
Queens,22,Astoria Pug: Steinway,40.764056,"38-12 30th Ave, Queens, NY 11103",-73.915722,Astoria,"Not accepted: meat, bones, dairy, or oil",23,24/7,Seasonal,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,,POINT (-73.915722000001 40.7640560000032),,,
Queens,26,Rusty Wheelbarrow Farm,40.7427093,"72-2 Woodside Ave, Woodside, NY 11377",-73.892547,Elmhurst-Maspeth,"No meat, bones, or dairy.",166,Tuesdays	12:00 PM- 2:00 PM,Year Round,NYC Compost Project Hosted by Big Reuse,https://www.bigreuse.org/,402,,POINT (-73.892547000001 40.7427093000032),,,
Richmond,50,Manor Heights,40.605671,"Woodward Ave and Woolley Ave, 10314",-74.140879,New Springville-Bloomfield-Travis,"Not accepted: meat, bones, or dairy",184,Thursdays 4 PM - 5:30 PM,Year Round,Snug Harbor Youth,snug-harbor.org,502,,POINT (-74.140879000001 40.6056710000032),,,
Kings,42,Canarsie Compost Yard,40.6516767,"1149 Rockaway Avenue, Brooklyn NY, 11236",-73.9059912,East New York,"Not accepted: meat, bones, or dairy",171,Wednesdays 10 AM - 2 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,318,,POINT (-73.905991200001 40.6516767000032),,,
Queens,26,Astoria Pug: Hunter's Point,40.74777,46th Avenue and 5th Street,-73.95486,Hunters Point-Sunnyside-West Maspeth,,183,Tuesdays	9:00 AM - 12:00 PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,402,1,POINT (-73.9548600000009 40.7477700000032),108,,
Bronx,11,Riverdale Neighborhood House,40.903202,"5521 Mosholu Avenue Bronx, NY 10471",-73.903936,North Riverdale-Fieldston-Riverdale,"No meat, BPI Certified Products. Remove all plastic, stickers and zip ties before dropping off food scraps.",156,"Thursdays, 1-6PM",Year Round,Riverdale Neighborhood House,,208,,POINT (-73.903936000001 40.9032020000032),,,
New York,2,Madison Square Park Food Scrap Drop-off,40.741669,23rd St & Broadway,-73.988969,Hudson Yards-Chelsea-Flatiron-Union Square,No meat. No BPI products.,194,Wednesdays 8 AM to 1 PM,Year Round,GrowNYC,grownyc.org/compost,105,,POINT (-73.9889690000009 40.7416690000032),,,
Queens,22,Astoria Pug: Ditmars,40.774194,Ditmars #1 Municipal Parking Field 22-18 33rd Street,-73.911611,Steinway,"Not accepted: meat, bones, dairy, or oil.",24,Saturdays 9:00AM - 3:45PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,,POINT (-73.9116110000009 40.7741940000032),,,
Queens,19,St. Anastasia Roman Catholic Church,40.7657836,246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden,-73.7408196,Douglas Manor-Douglaston-Little Neck,"Not accepted: meat, bones, or dairy",98,Fridays 8:00AM - 12:00PM; Saturdays 12:00PM - 12:30PM,Year Round,St. Anastasia Roman Catholic Church,https://www.sta.nyc/,411,,POINT (-73.7408196000009 40.7657836000032),,,
Bronx,8,Target Bronx Community Garden,40.83316,1024 Woodycrest Avenue,-73.92728,Highbridge,"Not accepted: meat, bones, or dairy",83,Mondays 10:00AM - 5:00PM,Year Round,Target Bronx Community Garden,www.targetbronxcommunitygarden.org,204,189,POINT (-73.9272800000009 40.8331600000032),44,2025080013,2000000
Kings,39,CLOSED FOR THE SEASON: East 4th Street Community Garden,40.6483066,"173 E 4th St, Brooklyn, NY 11218",-73.9772287,Windsor Terrace,,12,"Wednesdays 4:30 PM-6:30 PM, Saturdays 10:00 AM-1:00 PM, Sundays 10:00 AM - 12 PM","Seasonal, April - November 21",Members at East 4th Street Community Garden,https://eastfourthstreetgarden.tumblr.com/,307,,POINT (-73.977228700001 40.6483066000032),,,
New York,1,CLOSED FOR THE SEASON: Governors Island Compost Learning Center,40.6871579,758 Enright Rd,-74.0201142,park-cemetery-etc-Manhattan,Accepted: All organics except pet waste,51,Saturdays and Sundays,May 1- November 1,NYC Compost Project Hosted by Earth Matter NY,,101,5,POINT (-74.020114200001 40.6871579000032),1,,
Kings,33,WEATHER CLOSURE 1/30: North Brooklyn Compost,40.724493,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",-73.94375,Greenpoint,No oil,19,Sundays 10:00AM - 1:00PM,Year Round,North Brooklyn Compost,https://www.instagram.com/nbkcompost/?hl=en,301,,POINT (-73.943750000001 40.7244930000032),,,
Queens,21,Corona Food Scrap Drop-off,40.749728,Roosevelt Ave at 103 Street,-73.862513,North Corona,No meat. No BPI certified Products.,188,Fridays	8:00 AM - 1:00 PM,Year Round,GrowNYC,grownyc.org/compost,404,,POINT (-73.862513000001 40.7497280000032),,,
Richmond,51,Pleasant Plains,40.528501,Bloomingdale Rd and Drumgoole Road East,-74.216895,Charleston-Richmond Valley-Tottenville,"Not accepted: meat, bones, or dairy",162,Mondays 12 PM - 2 PM,Year Round,Snug Harbor Youth,https://snug-harbor.org/,503,20803,POINT (-74.216895000001 40.5285010000032),123,,
New York,9,127th Street Learning Annex,40.8095063,128 West 127th Street,-73.9460129,Central Harlem North-Polo Grounds,"Not accepted: meat, bones, or dairy",115,24/7,Year Round,Harlem Grown,www.harlemgrown.org/volunteer,110,224,POINT (-73.946012900001 40.8095063000032),28,1019110048,1000000
Kings,39,Gowanus Salt Lot,40.67541,"2 2nd Ave, Brooklyn, NY 11215",-73.99128,Park Slope-Gowanus,"Not accepted: meat, bones, dairy, or oil",56,24/7,Year Round,NYC Compost Project Hosted by Big Reuse,https://www.bigreuse.org/service/compost/,306,,POINT (-73.991280000001 40.6754100000032),,,
New York,8,Carver Community Garden,40.802223,242 East 124th,-73.934723,East Harlem North,"No Dried Flowers and Houseplants. No Bread, Grains, Pasta. No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products",151,"Wednesdays, 10AM-1PM",Year Round,Carver Community Garden,,111,194,POINT (-73.934723000001 40.8022230000032),25,1017880030,1000000
Kings,47,Bay Parkway at 86th Street,40.6022147,Near NE corner of Bay Parkway and 86th Street (Off Bay Parkway D Subways station between 85th and 86th Streets),-73.9938325,Bensonhurst West,"Not accepted: meat, bones, or dairy",130,Tuesdays 10:00 AM - 2:00 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,,POINT (-73.9938325000009 40.6022147000032),,,
Bronx,8,Padre Plaza Community Garden,40.8079687,"541 E 139th St, Bronx, NY 10454",-73.917581,Mott Haven-Port Morris,"Not accepted: grains, bread, meat, or dairy",179,Mondays & Wednesdays 12 PM - 5 PM,Year Round,Padre Plaza Community Garden,,201,,POINT (-73.917581000001 40.8079687000032),,,
Bronx,17,CLOSED FOR THE SEASON: Lincoln Hospital Greenmarket,40.817685,149th St between Park Ave and Morris Ave,-73.924225,Melrose South-Mott Haven North,"Not accepted: meat, bones, or dairy",44,Fridays 8:00AM - 12:00PM,June 25 - November 19,GrowNYC,https://www.grownyc.org/greenmarket/bronx/lincoln-hospital-fr,201,,POINT (-73.924225000001 40.8176850000032),,,
New York,1,Grand Street & Clinton Street,40.715889,Grand Street & Clinton Street,-73.986861,Lower East Side,"Not accepted: meat, bones, or dairy",29,Mondays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,,POINT (-73.986861000001 40.7158890000032),,,
New York,5,East 96th Street Food Scrap Drop-off,40.785792,96th St & Lexington Ave,-73.950833,Upper East Side-Carnegie Hill,"Not accepted: meat, bones, or dairy",102,Fridays 7:30AM - 11:30AM,Year Round,GrowNYC,,108,,POINT (-73.950833000001 40.7857920000032),,,
Queens,31,Garden of Resilience,40.66392,"179-18 145th Dr, Jamaica, NY 11434",-73.76626,Springfield Gardens South-Brookville,"Not accepted: meat, bones, or dairy.",87,Saturdays 9:00AM - 1:00PM,Year Round,Volunteers at Garden of Resilience,http://www.laurelton.nyc/resilience,413,,POINT (-73.766260000001 40.6639200000032),,,
New York,8,Rodale Pleasant Park Community Garden,40.7942659,"437 E 114th St, New York, NY 10029",-73.9344142,East Harlem North,"Compost volunteer workdays are every Friday 3pm-6pm. To volunteer, email flosparks0306@gmail.com.",124,24/7,Everyday,Rodale Pleasant Park Community Garden,,111,,POINT (-73.9344142000009 40.7942659000032),,,
Kings,36,Imani Community Garden,40.67623,"87-91 Schenectady Ave, Brooklyn, NY 11213",-73.93295,Crown Heights North,"Not accepted: meat, bones, or dairy",61,Wednesdays 8:00AM - 10:00AM; Saturdays 11:00AM - 1:00PM,Year Round,Imani Community Garden,https://www.facebook.com/Imani-Garden-168006109999475/,308,,POINT (-73.932950000001 40.6762300000032),,,
New York,2,CLOSED FOR THE SEASON: La Plaza Cultural Community Garden,40.7253498,674 East 9th Street,-73.9786278,Lower East Side,"No Meat, fish, bones, dairy products, animal waste, compostable cutlery, compostable containers and plates, and other compostable products. This site has specific instructions. Please carefully read instructions here: https://bit.ly/laplazadropoff",147,"Saturday and Sunday, 10AM-Dusk",April-November,La Plaza Cultural Community Garden,www.laplazacultural.com,103,2602,POINT (-73.978627800001 40.7253498000032),9,,
Bronx,17,WEATHER CLOSURE 1/29: Kelly Street Garden,40.820124,"924 Kelly St, The Bronx, NY 10459",-73.895674,Longwood,,76,Saturdays 10:00AM - 2:00PM,Year Round,Volunteers at Kelly Street Garden,https://www.facebook.com/kellyst.garden/,202,,POINT (-73.895674000001 40.8201240000032),,,
New York,7,Maggie's Garden,40.8285158,564 W 149th St,-73.9481163,Hamilton Heights,"Not accepted: meat, bones, or dairy",119,24/7 Drop Off,Year Round,Maggie's Garden,,109,233,POINT (-73.948116300001 40.8285158000032),30,1020800058,1000000
New York,3,Mathews-Palmer Park,40.76113,"437 W 45 St, New York, NY 10036",-73.99292,Clinton,"Please register to participate at bit.ly/HKcompost Setup is inside the park gate, under the mosaic panels, to the right of the park house door. Lids must remain closed and all food scraps must be placed INSIDE the bins",75,"Open during all park hours, typically dawn-dusk",Year Round,Mathews-Palmer Park,,104,,POINT (-73.992920000001 40.7611300000032),,,
New York,8,CLOSED FOR THE SEASON: Lydia's Magic Garden,40.80014,"1665 Park Avenue, Manhattan 10035 between 117th and 118th Streets",-73.94232,East Harlem North,"Bring food scraps inside the garden to place in the compost tumbler. Not accepted: meat, bones, or dairy.",92,"Sunday: 3-4PM, Monday 1-2PM Tuesday 1-2PM, Wednesday 1-2PM, Friday: 8-9AM",Seasonal (Closed 11/12/21),Lydia's Magic Garden,https://www.facebook.com/lydiasmagicgarden/,111,,POINT (-73.9423200000009 40.8001400000032),,,
Queens,19,Coastal Preservation Network,40.7859379,College Point Blvd & 14th Ave,-73.8458402,College Point,No meat accepted.,207,Thursdays 10AM-12PM,Year Round,Coastal Preservation Network,www.coastalpreservation.org,407,,POINT (-73.8458402000009 40.7859379000032),,,
Kings,36,1100 Bergen Street Community Garden,40.67629,"1107 Bergen Street, Brooklyn, NY 11216",-73.94925,Crown Heights North,"Meat, bones, and dairy not accepted.",134,"Sundays, 10AM-3PM",Year Round,Volunteers at 1100 Bergen Street Community Garden,https://bqlt.org/garden/1100-block-bergen-st-community-garden,308,,POINT (-73.949250000001 40.6762900000032),,,
Queens,31,Edgemere Farm,40.595012,"385 Beach 45th St, Far Rockaway, NY 11691",-73.7765544,Hammels-Arverne-Edgemere,,2,"Wednesdays-Fridays 10:00 AM-5:00 PM, Saturdays, 10:00 AM-3:00 PM",Year Round,Volunteers at Edgemere Farm,http://www.edgemerefarm.org/,414,,POINT (-73.7765544000009 40.5950120000032),,,
Bronx,11,Norwood Farmstand,40.88201,E Gun Hill Road and Dekalb Ave. (SE corner),-73.880346,Norwood,,202,"Thursdays, 9AM-2PM",Year Round,GrowNYC,grownyc.org/compost,207,,POINT (-73.880346000001 40.8820100000032),,,
Queens,26,Socrates Sculpture Park,40.768389,"Broadway & Vernon Blvd, Queens, NY 11106",-73.937,Queensbridge-Ravenswood-Long Island City,"Not accepted: meat, bones, dairy, or oil",148,Every day 9:00AM - dusk,Year Round,Socrates Sculpture Park,socratessculpturepark.org,401,,POINT (-73.937000000001 40.7683890000032),,,
Queens,24,Kehilat Sephardim Food Pantry,40.72087,"15062 78th Rd, Queens, NY 11367",-73.81152,Kew Gardens Hills,"Not accepted: meat, bones, or dairy",91,Sundays 9:00 AM - 2:00 PM,Year Round,Kehilat Sephardim Food Pantry,,408,,POINT (-73.811520000001 40.7208700000032),,,
Queens,24,CLOSED FOR THE SEASON: Briarwood CSA,40.7100076,"85-12 Main St, Briarwood, NY 11435",-73.8194271,Briarwood-Jamaica Hills,"Not accepted: meat, bones, or dairy",123,CLOSED FOR SEASON,CLOSED FOR SEASON,Volunteers at Briarwood CSA,www.briarwoodcsa.org,408,,POINT (-73.819427100001 40.7100076000032),,,
Queens,26,Smiling Hogshead Ranch,40.7432328,"Pearson Pl & Skillman Ave, Queens, NY 11101",-73.9431336,Hunters Point-Sunnyside-West Maspeth,,7,"Every Day, Dawn-Dusk",Year Round,Volunteers at Smiling Hogshead Ranch,www.smilinghogsheadranch.org,402,,POINT (-73.943133600001 40.7432328000032),,,
Richmond,49,H.E.A.L.T.H for Youths Skyline Community Garden,40.639901,1 Clyde Place,-74.0902865,West New Brighton-New Brighton-St. George,"Not accepted: meat, bones, or dairy",106,Saturdays 10:00AM - 11:00AM,Year Round,H.E.A.L.T.H for Youths Skyline Community Garden,www.health4youths.org,501,77,POINT (-74.090286500001 40.6399010000032),120,,
Bronx,16,Morrisania Food Scrap Drop-off,40.831187,McKinley Square at 169th St & Boston Rd,-73.900567,Morrisania-Melrose,"Not accepted: meat, bones, dairy",180,Wednesdays 10 AM - 1 PM,Year Round,GrowNYC,grownyc.org/compost,203,,POINT (-73.900567000001 40.8311870000032),,,
New York,10,Morris-Jumel Community Garden,40.8359312,457 West 162nd Street,-73.9391906,Washington Heights South,,170,24/7 Drop off,Year Round,Morris-Jumel Community Garden,,112,24301,POINT (-73.939190600001 40.8359312000032),33,1021100058,1000000
Kings,35,WEATHER CLOSURE 1/29: Fort Greene Greenmarket,40.691956,Washington Park and Willoughby Ave,-73.973643,Fort Greene,"Not accepted: meat, bones, or dairy",48,Saturdays 9:00AM - 2:00PM,Year Round,GrowNYC,https://www.grownyc.org/greenmarket/brooklyn/fort-greene,302,31,POINT (-73.973643000001 40.6919560000032),88,,
